# Top 50 functions by inclusive instruction-read share (Ir).
# Captured on AMD Ryzen 7 5800X / WSL Ubuntu 24.04 / GCC 13.3
# Workload: scripts/perf/workload-baseline.txt
#
10,688,303 (100.0%)  PROGRAM TOTALS
   40,437 ( 0.38%)  ???:sqlite3StrICmp [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   39,351 ( 0.37%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   38,998 ( 0.36%)  ./libio/./libio/ioungetc.c:ungetc [/usr/lib/x86_64-linux-gnu/libc.so.6]
   38,304 ( 0.36%)  ???:sqlite3Malloc [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   36,602 ( 0.34%)  ???:sqlite3Parser'2 [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   34,249 ( 0.32%)  ???:std::map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   32,665 ( 0.31%)  ???:app::config::ConfigManager::loadConfig() [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   32,387 ( 0.30%)  ???:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(char const*, unsigned long) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
   31,870 ( 0.30%)  ???:sqlite3DbMallocRawNN [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   31,737 ( 0.30%)  ???:0x00000000000c6e10 [/usr/lib/x86_64-linux-gnu/libsqlite3.so.0.8.6]
   29,844 ( 0.28%)  ???:nlohmann::json_abi_v3_11_3::ordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void>, std::less<void>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, nlohmann::json_abi_v3_11_3::basic_json<nlohmann::json_abi_v3_11_3::ordered_map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> > > >::operator[](std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [/mnt/c/Users/Bebe/Downloads/portfolio-READY/.claude/worktrees/loving-brahmagupta/build/wsl-release/industrial-hmi-console]
